dateff,mktrf,smb,hml,rf,umd
19511130,0.005700,-0.002900,-0.000500,0.00110,0.006300
19511231,0.033300,-0.022500,-0.015600,0.00120,0.017000
19520131,0.014500,-0.006100,0.015400,0.00150,0.013700
19520229,-0.026200,0.007900,-0.006100,0.00120,-0.007500
19520331,0.044400,-0.029900,0.021600,0.00110,0.016500
19520430,-0.049700,0.004800,-0.001000,0.00120,-0.020400
19520529,0.032000,-0.010100,0.000800,0.00130,0.004900
19520630,0.038300,-0.016100,0.012300,0.00150,0.015000
19520731,0.009100,-0.004000,-0.003500,0.00150,-0.005200
19520829,-0.007600,0.011800,0.000300,0.00150,0.003100
19520930,-0.020300,0.011500,-0.015100,0.00160,0.017600
19521031,-0.006600,-0.010600,-0.004500,0.00140,0.027500
19521128,0.059400,-0.007100,0.009500,0.00100,0.004400
19521231,0.029300,-0.014800,0.001800,0.00160,0.015100
19530130,-0.003400,0.035800,0.013200,0.00160,0.007200
19530227,-0.002700,0.021500,-0.000800,0.00140,0.008600
19530331,-0.014300,-0.001900,-0.008000,0.00180,0.000800
19530430,-0.028300,0.002800,0.015300,0.00160,0.018500
19530529,0.005200,-0.000700,0.002300,0.00170,0.009400
19530630,-0.018900,-0.018600,-0.004700,0.00180,-0.000100
19530731,0.024000,-0.010500,-0.002400,0.00150,-0.003100
19530831,-0.045200,0.003600,-0.035400,0.00170,0.022100
19530930,0.002000,-0.008500,-0.024200,0.00160,0.028800
19531030,0.046000,-0.013700,-0.001900,0.00130,0.002700
19531130,0.028300,-0.012900,-0.001700,0.00080,0.019500
19531231,0.000300,-0.008400,-0.028400,0.00130,0.051900
19540129,0.051300,0.004600,0.035100,0.00110,-0.057400
19540226,0.016700,-0.001700,-0.002800,0.00070,0.010300
19540331,0.036500,-0.004900,-0.014600,0.00080,0.022000
19540430,0.042700,-0.034800,-0.003700,0.00090,0.049800
19540528,0.030900,0.003900,0.024600,0.00050,-0.019900
19540630,0.010700,0.004100,-0.000300,0.00060,0.035200
19540730,0.049900,0.010700,0.041100,0.00050,0.004400
19540831,-0.023400,0.026600,-0.013600,0.00050,-0.006400
19540930,0.063900,-0.025400,0.006600,0.00090,0.015400
19541029,-0.016700,0.005900,0.007200,0.00070,0.009600
19541130,0.093800,-0.026200,0.043600,0.00060,0.019300
19541231,0.054800,0.021400,0.057100,0.00080,-0.014100
19550131,0.006000,0.002500,0.021800,0.00080,0.013600
19550228,0.030200,0.015400,0.006200,0.00090,0.010900
19550331,-0.001600,-0.006600,0.019500,0.00100,0.010300
19550429,0.031100,-0.017900,0.008100,0.00100,0.000900
19550531,0.009300,-0.002900,-0.008600,0.00140,0.005600
19550630,0.065500,-0.046500,0.019200,0.00100,0.046600
19550729,0.019000,-0.013600,0.006300,0.00100,-0.012300
19550831,0.002100,-0.003800,0.005800,0.00160,0.017900
19550930,-0.003600,0.003000,-0.010600,0.00160,0.017700
19551031,-0.026800,0.015000,-0.000300,0.00180,-0.005000
19551130,0.070300,-0.024600,0.005000,0.00170,0.026700
19551230,0.014900,0.020800,-0.022400,0.00180,-0.013300
19560131,-0.030300,0.004400,0.011200,0.00220,-0.014800
19560229,0.037700,-0.010400,-0.005300,0.00190,0.019700
19560329,0.066400,-0.024200,-0.001400,0.00150,0.035900
19560430,0.002800,0.000700,-0.001800,0.00190,0.025700
19560531,-0.052000,0.015000,-0.013300,0.00230,-0.016200
19560629,0.034800,-0.014600,-0.013200,0.00200,0.027100
19560731,0.048400,-0.016800,-0.000100,0.00220,0.025200
19560831,-0.031800,0.019000,-0.007100,0.00170,-0.006900
19560928,-0.051400,0.015600,0.017900,0.00180,-0.007600
19561031,0.005200,-0.000900,-0.000600,0.00250,0.024600
19561130,0.003600,-0.002200,0.017800,0.00200,0.034100
19561231,0.031600,-0.000300,-0.021000,0.00240,0.038100
19570131,-0.035800,0.034000,0.027800,0.00270,-0.030500
19570228,-0.020600,-0.007200,-0.007300,0.00240,0.003100
19570329,0.021300,0.002700,-0.004700,0.00230,-0.001800
19570430,0.042600,-0.016000,-0.015100,0.00250,0.009600
19570531,0.034500,-0.010700,-0.020500,0.00260,0.004400
