MarkettypeID,date,Portfolios,RM,SMB,HML,RMW,CMA
P9709,2001/2/14,1,-0.000055,0.000282,0.000082,0.002737,-0.001644
P9713,2001/2/14,3,0.000945,-0.000208,-0.000546,0.000758,-0.001735
P9713,2001/2/14,2,0.000945,0.00034,0.000027,0.001374,-0.001531
P9713,2001/2/14,1,0.000945,0.000302,0.00139,0.001994,-0.001375
P9714,2001/2/14,2,-0.000055,0.000309,-0.001006,0.001827,-0.001725
P9714,2001/2/14,3,-0.000055,-0.000321,-0.001609,0.001087,-0.001801
P9714,2001/2/14,1,-0.000055,0.000282,0.000082,0.002737,-0.001644
P9709,2001/2/15,1,-0.009055,0.001631,0.001077,-0.002136,0.000674
P9709,2001/2/15,3,-0.009055,0.001599,0.00115,-0.001442,-0.000256
P9709,2001/2/15,2,-0.009055,0.001855,0.000533,-0.00155,-0.00025
P9713,2001/2/15,3,-0.008055,0.001156,0.00206,-0.001076,0.000028
P9713,2001/2/15,1,-0.008055,0.001171,0.002131,-0.002301,0.00094
P9713,2001/2/15,2,-0.008055,0.001386,0.001228,-0.00157,0.00007
P9714,2001/2/15,3,-0.009055,0.001599,0.00115,-0.001442,-0.000256
P9714,2001/2/15,2,-0.009055,0.001855,0.000533,-0.00155,-0.00025
P9714,2001/2/15,1,-0.009055,0.001631,0.001077,-0.002136,0.000674
P9709,2001/2/16,2,-0.002055,-0.002365,-0.002411,0.000729,-0.001849
P9709,2001/2/16,1,-0.002055,-0.002247,-0.002054,0.003197,-0.000439
P9709,2001/2/16,3,-0.002055,-0.002285,-0.002045,0.000472,-0.000875
P9713,2001/2/16,2,-0.001055,-0.002509,-0.001467,0.000782,-0.001612
P9713,2001/2/16,3,-0.001055,-0.002529,-0.000912,0.000639,-0.000758
P9714,2001/2/16,3,-0.002055,-0.002285,-0.002045,0.000472,-0.000875
P9714,2001/2/16,2,-0.002055,-0.002365,-0.002411,0.000729,-0.001849
P9713,2001/2/16,1,-0.001055,-0.002384,-0.000493,0.00295,-0.000047
P9714,2001/2/16,1,-0.002055,-0.002247,-0.002054,0.003197,-0.000439
P9709,2001/2/19,3,0.010945,0.005842,0.002315,-0.002385,-0.000611
P9709,2001/2/19,2,0.010945,0.004643,0.002194,-0.001444,-0.000226
P9709,2001/2/19,1,0.010945,0.004727,0.003407,-0.001767,0.000958
P9713,2001/2/19,1,0.011945,0.004611,0.005736,-0.002115,0.001499
P9713,2001/2/19,3,0.011945,0.005997,0.003824,-0.002349,-0.000623
P9714,2001/2/19,1,0.010945,0.004727,0.003407,-0.001767,0.000958
P9714,2001/2/19,3,0.010945,0.005842,0.002315,-0.002385,-0.000611
P9713,2001/2/19,2,0.011945,0.004619,0.003954,-0.001601,-0.0002
P9714,2001/2/19,2,0.010945,0.004643,0.002194,-0.001444,-0.000226
P9709,2001/2/20,1,-0.007055,-0.002108,-0.004226,0.002695,-0.002508
P9709,2001/2/20,3,-0.007055,-0.001868,-0.003012,0.002705,-0.00153
P9709,2001/2/20,2,-0.007055,-0.001905,-0.002738,0.002847,-0.002327
P9713,2001/2/20,2,-0.007055,-0.001905,-0.002738,0.002847,-0.002327
P9713,2001/2/20,1,-0.007055,-0.002108,-0.004226,0.002695,-0.002508
P9713,2001/2/20,3,-0.007055,-0.001868,-0.003012,0.002705,-0.00153
P9714,2001/2/20,1,-0.007055,-0.002108,-0.004226,0.002695,-0.002508
P9714,2001/2/20,2,-0.007055,-0.001905,-0.002738,0.002847,-0.002327
P9714,2001/2/20,3,-0.007055,-0.001868,-0.003012,0.002705,-0.00153
P9709,2001/2/21,3,-0.025055,-0.003703,-0.004808,0.007419,-0.003848
P9709,2001/2/21,2,-0.025055,-0.004849,-0.004075,0.008196,-0.00625
P9709,2001/2/21,1,-0.025055,-0.004996,-0.004793,0.012055,-0.008257
P9713,2001/2/21,1,-0.025055,-0.004996,-0.004793,0.012055,-0.008257
P9713,2001/2/21,3,-0.025055,-0.003703,-0.004808,0.007419,-0.003848
P9714,2001/2/21,3,-0.025055,-0.003703,-0.004808,0.007419,-0.003848
P9713,2001/2/21,2,-0.025055,-0.004849,-0.004075,0.008196,-0.00625
P9714,2001/2/21,1,-0.025055,-0.004996,-0.004793,0.012055,-0.008257
P9714,2001/2/21,2,-0.025055,-0.004849,-0.004075,0.008196,-0.00625
P9709,2001/2/22,3,-0.003055,-0.001756,0.001549,0.005858,-0.004362
P9709,2001/2/22,1,-0.003055,-0.003678,0.003458,0.008604,-0.007823
P9709,2001/2/22,2,-0.003055,-0.003513,0.001581,0.006551,-0.005568
P9713,2001/2/22,3,-0.003055,-0.001756,0.001549,0.005858,-0.004362
P9713,2001/2/22,2,-0.003055,-0.003513,0.001581,0.006551,-0.005568
P9713,2001/2/22,1,-0.003055,-0.003678,0.003458,0.008604,-0.007823
P9714,2001/2/22,3,-0.003055,-0.001756,0.001549,0.005858,-0.004362
P9714,2001/2/22,2,-0.003055,-0.003513,0.001581,0.006551,-0.005568
P9714,2001/2/22,1,-0.003055,-0.003678,0.003458,0.008604,-0.007823
P9709,2001/2/23,1,0.012945,-0.003069,0.005057,0.000822,0.001208
P9709,2001/2/23,2,0.012945,-0.002945,0.003647,0.001445,0.001471
P9709,2001/2/23,3,0.012945,-0.003209,0.003564,0.002383,0.002153
P9713,2001/2/23,2,0.012945,-0.002945,0.003647,0.001445,0.001471
P9713,2001/2/23,3,0.012945,-0.003209,0.003564,0.002383,0.002153
P9713,2001/2/23,1,0.012945,-0.003069,0.005057,0.000822,0.001208
P9714,2001/2/23,3,0.012945,-0.003209,0.003564,0.002383,0.002153
P9714,2001/2/23,1,0.012945,-0.003069,0.005057,0.000822,0.001208
P9714,2001/2/23,2,0.012945,-0.002945,0.003647,0.001445,0.001471
P9709,2001/2/26,2,0.011945,-0.004,0.001169,0.002506,-0.000759
P9709,2001/2/26,1,0.011945,-0.00412,0.002243,0.005721,-0.001876
P9709,2001/2/26,3,0.011945,-0.004775,0.000294,0.003558,0.000095
P9713,2001/2/26,3,0.011945,-0.004775,0.000294,0.003558,0.000095
