This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202108 CRSP database.
The 1-month TBill return is from Ibbotson and Associates Inc.

,Mkt-RF,SMB,HML,RMW,CMA,RF
198304,    6.67,    0.47,    0.51,   -0.11,    1.47,    0.71
198305,    0.52,    6.33,   -1.42,   -1.84,   -1.54,    0.69
198306,    3.07,    1.19,   -3.91,    2.60,   -0.87,    0.67
198307,   -4.07,    1.01,    5.62,   -0.11,    2.81,    0.74
198308,   -0.50,   -4.32,    5.54,    0.53,    1.90,    0.76
198309,    0.91,    0.31,    1.01,    1.25,    0.50,    0.76
198310,   -3.44,   -3.78,    4.97,   -0.80,    2.97,    0.76
198311,    2.16,    1.89,   -0.73,   -0.75,    0.66,    0.70
198312,   -1.78,   -0.45,    1.70,    1.60,    1.27,    0.73
198401,   -1.92,   -0.03,    7.57,   -0.82,    2.92,    0.76
198402,   -4.82,   -1.60,    3.34,    0.91,    1.58,    0.71
198403,    0.63,   -0.29,    0.47,   -0.85,    1.17,    0.73
198404,   -0.51,   -0.96,    1.19,    3.38,    0.76,    0.81
198405,   -5.97,    0.14,    0.29,    2.20,   -0.46,    0.78
198406,    1.82,    0.10,   -2.66,    3.13,   -1.56,    0.75
198407,   -2.74,   -2.22,    0.33,    3.55,   -2.15,    0.82
198408,   10.28,   -0.26,   -1.80,   -0.68,   -0.92,    0.83
198409,   -0.80,   -0.03,    5.23,    1.37,    2.41,    0.86
198410,   -0.84,   -1.44,    0.47,    1.18,   -1.09,    1.00
198411,   -1.76,   -1.01,    4.04,    0.72,    2.06,    0.73
198412,    1.84,   -0.65,   -0.25,    1.31,   -1.36,    0.64
198501,    7.99,    3.50,   -5.33,   -0.89,   -3.41,    0.65
198502,    1.22,    1.04,   -0.10,    1.29,    1.06,    0.58
198503,   -0.84,   -1.39,    4.07,    1.23,    2.88,    0.62
198504,   -0.96,   -0.10,    3.72,    1.55,    0.71,    0.72
198505,    5.09,   -2.31,   -0.94,    1.33,   -1.49,    0.66
198506,    1.27,    0.38,    0.47,    1.71,   -0.77,    0.55
198507,   -0.74,    2.87,   -1.60,   -0.44,   -0.38,    0.62
198508,   -1.02,   -0.29,    2.28,   -0.07,    1.84,    0.55
198509,   -4.54,   -1.80,    1.29,    1.09,    1.62,    0.60
198510,    4.02,   -1.49,    0.75,    0.91,   -1.08,    0.65
198511,    6.48,    0.02,   -2.84,    0.32,   -2.29,    0.61
198512,    3.88,   -0.40,   -1.54,    1.01,   -1.82,    0.65
198601,    0.65,    1.00,    0.44,   -2.00,   -2.00,    0.56
198602,    7.13,   -0.71,   -0.77,    1.09,   -1.24,    0.53
198603,    4.88,   -0.65,   -0.37,    1.18,    0.90,    0.60
198604,   -1.31,    2.86,   -2.86,    2.89,   -0.06,    0.52
198605,    4.62,   -1.29,   -0.21,    2.15,    1.08,    0.49
198606,    1.03,   -0.88,    1.30,    1.83,    0.82,    0.52
198607,   -6.45,   -3.45,    4.70,   -0.45,    0.84,    0.52
198608,    6.07,   -4.35,    3.51,   -1.63,    3.19,    0.46
198609,   -8.60,    2.05,    3.22,   -0.10,    3.72,    0.45
198610,    4.66,   -2.33,   -1.42,   -0.05,    1.00,    0.46
198611,    1.17,   -1.89,   -0.07,    1.03,    0.66,    0.39
198612,   -3.27,    0.12,    0.36,    0.81,    0.09,    0.49
198701,   12.47,   -1.54,   -3.16,    0.16,   -0.98,    0.42
198702,    4.39,    3.40,   -5.91,   -0.84,   -2.63,    0.43
198703,    1.64,    0.27,    1.61,    1.35,    4.12,    0.47
198704,   -2.11,   -1.54,   -0.39,   -0.50,    1.03,    0.44
198705,    0.11,   -0.56,    0.23,    0.51,    1.15,    0.38
198706,    3.94,   -2.21,    1.04,    1.69,    0.84,    0.48
198707,    3.85,   -1.12,    0.73,   -0.61,    1.64,    0.46
198708,    3.52,   -0.95,   -0.95,    2.04,   -1.61,    0.47
198709,   -2.59,    0.40,    0.30,   -0.97,    1.90,    0.45
198710,  -23.24,   -8.05,    4.23,    2.06,    2.26,    0.60
198711,   -7.77,    2.87,    2.96,   -1.88,    0.68,    0.35
198712,    6.81,    0.06,   -4.39,    2.95,   -2.46,    0.39
198801,    4.21,   -0.53,    4.95,   -1.13,    2.20,    0.29
198802,    4.75,    3.31,   -1.69,    1.55,    0.00,    0.46
198803,   -2.27,    6.24,    0.74,   -0.26,    1.82,    0.44
198804,    0.56,    1.15,    1.63,   -0.20,    1.94,    0.46
198805,   -0.29,   -2.57,    2.42,   -0.74,    0.33,    0.51
198806,    4.79,    2.14,   -1.22,    1.46,   -3.44,    0.49
198807,   -1.25,   -0.21,    2.17,   -0.58,    1.49,    0.51
198808,   -3.31,   -0.03,    2.10,   -0.81,    1.76,    0.59
198809,    3.30,   -1.35,   -0.75,    1.75,   -0.60,    0.62
198810,    1.15,   -2.95,    1.69,    1.29,    1.03,    0.61
198811,   -2.29,   -1.65,    1.30,   -0.28,    1.63,    0.57
198812,    1.49,    2.02,   -1.61,    0.69,   -0.38,    0.63
198901,    6.10,   -2.31,    0.62,   -0.95,    0.14,    0.55
198902,   -2.25,    2.71,    0.93,   -0.87,    1.81,    0.61
198903,    1.57,    0.68,    0.54,    0.05,    0.73,    0.67
